"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03","WV20"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-19","2.1"," 1131"," 1933","0.0","0.0","25.0","2.2","7.8","-3.9",,"  170","   50","6.3","8.0",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-20","3.0"," 1604"," 1510","0.0","0.0","0.0","3.3","8.9","-2.8",,"   40","   60","5.8","9.8",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-21","3.4"," 1847"," 1652","0.0","0.0","0.0","5.0","11.1","-1.7",,"   30","   50","7.2","11.6","    1",,,,,,,,,,"    1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-22","2.8"," 1440"," 0234","0.0","0.0","0.0","5.6","13.3","-2.2",,"  320","   10","7.6","10.3","    1",,,,,,,"    1",,,"    1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-23","5.1"," 2132"," 2037","0.0","0.0","0.0","5.6","10.0","1.1",,"  310","  290","9.4","11.2","    1",,,,,,,"    1",,,"    1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-24","7.1"," 0033"," 0032","0.0","0.0","0.0","-1.7","2.2","-6.1",,"  330","  330","11.6","15.6",,,,,,,,,,,,,,,,"    1",,,,,"    1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-25","6.5"," 1601"," 1621","0.0","0.0","0.0","-5.6","-3.9","-7.2",,"  340","  330","10.3","11.6","    1",,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-26","4.1"," 1009"," 1337","0.0","0.0","0.0","-3.9","0.6","-8.9",,"  300","  260","7.2","8.9",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-27","2.9"," 1845"," 0859","0.0","0.0","0.0","0.0","3.9","-4.4",,"  130","   50","5.8","7.6",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-28","3.5"," 1636"," 1636","0.3","0.0","0.0","2.2","9.4","-5.6","    0","  250","  270","7.6","11.2",,,,,,,,,,,,,,"    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-29","3.3"," 1526"," 1805","0.3","0.0","0.0","5.0","7.8","1.7",,"  100","   50","6.7","10.3","    1",,,,,,,"    1",,,"    1","    1",,"    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-30","3.5"," 1712"," 1249","0.0","0.0","0.0","5.6","10.6","0.0","    0","   50","   70","6.7","11.6","    1",,,,,,,"    1",,,"    1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-31","4.0"," 1936"," 2027","1.8","0.0","0.0","7.8","13.3","1.7",,"  310","  320","11.2","14.3","    1",,,,,,,"    1",,,"    1",,,"    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-01","5.0"," 1108"," 1154","0.0","0.0","0.0","4.4","9.4","-1.1",,"  300","  300","9.8","13.0",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-02","3.0"," 2032"," 2022","0.0","0.0","0.0","7.2","15.6","-1.1",,"   10","   20","8.9","11.2",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-03","6.3"," 1245"," 1235","0.0","0.0","0.0","5.0","7.8","1.7",,"   50","   50","10.7","14.3",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-04","4.1"," 1529"," 1631","0.0","0.0","0.0","5.6","11.1","-0.6",,"   70","   60","7.2","11.6","    1",,,,,,,"    1",,,"    1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-05","3.5"," 1705"," 1704","11.4","0.0","0.0","8.9","15.6","2.2",,"  330","  330","10.7","13.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-06","3.4"," 1607"," 1615","4.6","0.0","0.0","11.7","16.7","6.7",,"   50","   70","6.3","8.9","    1",,"    1",,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-07","7.6"," 1423"," 1423","0.0","0.0","0.0","17.8","28.3","6.7","    0","  240","  240","16.5","21.9","    1",,,,,,,,,,"    1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-08","4.7"," 0058"," 0057","0.0","0.0","0.0","16.1","25.0","7.2",,"  260","  260","9.8","11.6",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-09","5.7"," 0055"," 1244","6.1","0.0","0.0","11.1","15.0","6.7",,"   40","   60","10.7","13.9","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-10","4.6"," 1302"," 1151","0.0","0.0","0.0","8.3","10.6","6.1","    0","   70","   70","6.7","13.4","    1",,,,,,,"    1",,,"    1",,,"    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-11","5.6"," 2209"," 2157","13.5","0.0","0.0","17.8","25.0","10.6",,"  210","  210","11.2","16.5","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-12","9.3"," 1519"," 1354","0.0","0.0","0.0","13.9","18.9","8.3",,"  260","  230","15.6","20.6",,,,,,,,,,,,,,,,,,,,,
